"Person","time","MeanSC","IBI","empathy","conflict"
1,1,8.788595,644.5333,3,1.6
1,2,7.184553,691.2857,3,1.6
1,3,7.13945,649.5714,3,1.6
1,4,8.524625,677.4286,3,1.6
1,5,11.47801,697.2308,3,1.6
1,6,13.56986,673.7143,3,1.6
1,7,10.77828,652,3,1.6
1,8,9.350462,610.125,3,1.6
1,9,9.702819,634.9333,3,1.6
1,10,8.954727,631.8571,3,1.6
1,11,8.786957,615,3,1.6
1,12,8.420795,608.9333,3,1.6
1,13,8.101044,680.5714,3,1.6
1,14,10.22315,657.7143,3,1.6
1,15,11.20685,680.2857,3,1.6
1,16,11.0315,701.2308,3,1.6
1,17,11.33117,680.2857,3,1.6
1,18,11.99411,650.2857,3,1.6
1,19,11.01499,705.6923,3,1.6
1,20,9.672873,708.9231,3,1.6
1,21,8.841527,639.6,3,1.6
1,22,10.38926,670.2857,3,1.6
1,23,10.22742,707.2308,3,1.6
1,24,9.72031,689.5385,3,1.6
1,25,8.992454,652.4,3,1.6
1,26,8.190072,617.0667,3,1.6
1,27,9.174187,628.1333,3,1.6
1,28,9.965728,653.4286,3,1.6
1,29,9.709022,602.5,3,1.6
1,30,9.801585,623.3333,3,1.6
1,31,9.811755,633.8571,3,1.6
1,32,9.564396,617.3333,3,1.6
1,33,11.2405,647.4667,3,1.6
1,34,12.11825,602.9333,3,1.6
1,35,11.51635,645.8667,3,1.6
1,36,10.61087,667.1429,3,1.6
1,37,10.1171,664.2857,3,1.6
1,38,10.43488,637,3,1.6
1,39,11.20147,625.8667,3,1.6
1,40,10.99856,630.6667,3,1.6
1,41,10.22498,663,3,1.6
1,42,9.576866,685,3,1.6
1,43,8.566485,637.5714,3,1.6
1,44,7.613098,613,3,1.6
1,45,7.677156,681.2308,3,1.6
1,46,9.245338,638.8,3,1.6
1,47,9.099087,617.6,3,1.6
1,48,9.506826,673.5714,3,1.6
1,49,8.931849,680,3,1.6
1,50,8.279527,655.2857,3,1.6
1,51,8.025247,647.5714,3,1.6
1,52,7.444457,581.875,3,1.6
1,53,8.17118,608.2667,3,1.6
1,54,8.346615,683.1429,3,1.6
1,55,9.522244,638.8571,3,1.6
1,56,9.969691,665.7143,3,1.6
1,57,11.16272,657.5714,3,1.6
1,58,11.45153,633.2,3,1.6
1,59,9.875194,675.5714,3,1.6
1,60,9.475053,681,3,1.6
1,61,9.032111,652.2857,3,1.6
1,62,8.196022,681,3,1.6
1,63,6.980277,683.0769,3,1.6
1,64,6.917215,713.8462,3,1.6
1,65,7.307367,664.4286,3,1.6
1,66,7.50674,602.75,3,1.6
1,67,6.31551,694.4615,3,1.6
1,68,6.42101,717.3846,3,1.6
1,69,7.766205,690.4286,3,1.6
1,70,15.44604,708.3077,3,1.6
1,71,15.29305,695.8462,3,1.6
1,72,12.2086,715.3846,3,1.6
1,73,8.901896,658.1333,3,1.6
1,74,7.278196,690.1538,3,1.6
1,75,8.943098,664.4286,3,1.6
1,76,9.322386,736.7692,3,1.6
1,77,8.46189,649.8571,3,1.6
1,78,7.764704,654.8571,3,1.6
1,79,11.84924,654.8571,3,1.6
1,80,10.87178,684.5714,3,1.6
1,81,10.22082,702.9231,3,1.6
1,82,8.164282,703.2308,3,1.6
1,83,6.977319,705.0769,3,1.6
1,84,6.17438,709.6923,3,1.6
1,85,6.925615,700.6154,3,1.6
1,86,6.613271,700.1429,3,1.6
1,87,8.062005,676.2857,3,1.6
1,88,9.088086,711.8462,3,1.6
1,89,9.206009,732.5,3,1.6
1,90,12.4467,737.5385,3,1.6
1,91,13.99666,664.2857,3,1.6
1,92,12.63701,723.5385,3,1.6
1,93,10.93693,709.6923,3,1.6
1,94,9.241759,691.0769,3,1.6
1,95,8.662539,683,3,1.6
1,96,9.061325,725.3333,3,1.6
1,97,9.102062,718.3077,3,1.6
1,98,8.678829,704.1538,3,1.6
1,99,8.191595,692.5714,3,1.6
1,100,6.67858,728.4615,3,1.6
1,101,6.531931,717.2308,3,1.6
2,1,15.24101,NA,0.6666667,3.8
2,2,17.19033,NA,0.6666667,3.8
2,3,17.72738,NA,0.6666667,3.8
2,4,14.92918,NA,0.6666667,3.8
2,5,13.35669,NA,0.6666667,3.8
2,6,13.56135,NA,0.6666667,3.8
2,7,12.24394,NA,0.6666667,3.8
2,8,10.96847,NA,0.6666667,3.8
2,9,8.880818,NA,0.6666667,3.8
2,10,12.0645,NA,0.6666667,3.8
2,11,11.54258,NA,0.6666667,3.8
2,12,9.207427,NA,0.6666667,3.8
2,13,9.166699,NA,0.6666667,3.8
2,14,11.85994,NA,0.6666667,3.8
2,15,10.76352,NA,0.6666667,3.8
2,16,8.521454,NA,0.6666667,3.8
2,17,8.397228,NA,0.6666667,3.8
2,18,6.828062,NA,0.6666667,3.8
2,19,6.007287,NA,0.6666667,3.8
2,20,8.659466,NA,0.6666667,3.8
2,21,17.60194,NA,0.6666667,3.8
2,22,12.60493,NA,0.6666667,3.8
2,23,11.14172,NA,0.6666667,3.8
2,24,14.52246,NA,0.6666667,3.8
2,25,15.96065,NA,0.6666667,3.8
2,26,12.33744,NA,0.6666667,3.8
2,27,12.90644,NA,0.6666667,3.8
2,28,11.5726,NA,0.6666667,3.8
2,29,11.50666,NA,0.6666667,3.8
3,1,11.00815,656.5714,1,1.6
3,2,10.99475,740,1,1.6
3,3,10.95851,788.5455,1,1.6
3,4,11.03138,811.8182,1,1.6
3,5,10.92239,751.0769,1,1.6
3,6,10.89713,769.6364,1,1.6
3,7,11.07029,804,1,1.6
3,8,10.99672,904.2,1,1.6
3,9,11.0171,782.3333,1,1.6
3,10,10.98648,786.6667,1,1.6
3,11,11.15576,768.1667,1,1.6
3,12,11.50567,731.5,1,1.6
3,13,11.71224,788.5,1,1.6
3,14,11.59922,697.5385,1,1.6
3,15,11.6637,855.2727,1,1.6
3,16,11.79251,784,1,1.6
3,17,11.82962,817.8333,1,1.6
3,18,11.99607,755.5,1,1.6
3,19,12.05711,783.8333,1,1.6
3,20,12.15518,820.3636,1,1.6
3,21,12.24267,828.7273,1,1.6
3,22,12.61027,649.2,1,1.6
3,23,12.96956,730.1538,1,1.6
3,24,13.17971,786.9091,1,1.6
3,25,12.89851,736.4615,1,1.6
3,26,12.7618,894.2,1,1.6
3,27,12.49263,765.6667,1,1.6
3,28,12.56661,861.4545,1,1.6
3,29,12.76024,889,1,1.6
3,30,12.95329,745.6667,1,1.6
3,31,12.83597,825.6364,1,1.6
3,32,12.8322,951.6,1,1.6
3,33,12.68878,864.6,1,1.6
3,34,12.64728,817.5,1,1.6
3,35,12.05455,875.4,1,1.6
3,36,12.48875,709.0769,1,1.6
3,37,12.46518,765.3846,1,1.6
3,38,12.71329,767.8182,1,1.6
3,39,12.68171,846.7273,1,1.6
3,40,12.86091,803.8182,1,1.6
3,41,13.31698,839.2727,1,1.6
3,42,16.47783,709.3846,1,1.6
3,43,18.20505,703.3846,1,1.6
3,44,21.47042,763,1,1.6
3,45,NA,810.5,1,1.6
3,46,NA,762,1,1.6
3,47,NA,696.3077,1,1.6
3,48,18.52589,796.8333,1,1.6
3,49,17.29582,773.4545,1,1.6
3,50,14.08532,723.6923,1,1.6
3,51,11.10378,722.3077,1,1.6
3,52,9.703622,831.2727,1,1.6
3,53,9.507186,772.3333,1,1.6
3,54,7.173312,729.3846,1,1.6
3,55,4.777331,748.6667,1,1.6
3,56,7.345176,726.3077,1,1.6
3,57,10.90231,784.8333,1,1.6
3,58,13.62371,816.1818,1,1.6
3,59,11.79244,827.2727,1,1.6
3,60,12.81405,757.5,1,1.6
3,61,13.06033,714.4615,1,1.6
3,62,16.03075,879.2,1,1.6
3,63,18.79495,914.2,1,1.6
3,64,17.87149,895.8,1,1.6
3,65,15.36769,834.1818,1,1.6
3,66,13.17067,693.2308,1,1.6
3,67,12.06248,900,1,1.6
3,68,12.50611,885.3333,1,1.6
3,69,10.19883,949.8,1,1.6
3,70,7.356866,860,1,1.6
3,71,5.578153,812.7273,1,1.6
3,72,11.59131,862.5455,1,1.6
3,73,13.64954,788.6667,1,1.6
3,74,12.46749,740.5,1,1.6
3,75,13.11281,827.4545,1,1.6
3,76,14.97846,781.3333,1,1.6
3,77,13.84369,889.4,1,1.6
3,78,11.77864,868,1,1.6
3,79,14.27431,860.4,1,1.6
3,80,19.1716,689.7143,1,1.6
3,81,18.59435,728.6154,1,1.6
3,82,19.80063,785.6667,1,1.6
3,83,17.56082,787.2727,1,1.6
3,84,16.5141,729.6923,1,1.6
3,85,12.73198,699.8462,1,1.6
3,86,14.75052,786.6667,1,1.6
3,87,12.32468,738.9231,1,1.6
3,88,9.56951,699.1429,1,1.6
3,89,16.94271,748.3333,1,1.6
3,90,17.29012,805.0909,1,1.6
3,91,18.33526,775,1,1.6
3,92,17.16883,799.0909,1,1.6
3,93,16.23415,718.4615,1,1.6
3,94,14.02251,883.2727,1,1.6
3,95,15.16061,839.2727,1,1.6
3,96,13.48808,836.5455,1,1.6
3,97,13.09751,794.3636,1,1.6
3,98,12.7833,821,1,1.6
3,99,13.08852,779.0909,1,1.6
3,100,11.25132,779,1,1.6
3,101,10.1988,870.1818,1,1.6
3,102,8.86927,778.7273,1,1.6
3,103,8.893619,805,1,1.6
3,104,13.34396,766.3333,1,1.6
3,105,12.14165,760.8333,1,1.6
3,106,8.947731,720.4615,1,1.6
3,107,7.397308,724.3077,1,1.6
3,108,12.25539,890.2,1,1.6
3,109,12.39369,830.9091,1,1.6
3,110,10.25095,826.5455,1,1.6
3,111,8.689026,790.1667,1,1.6
3,112,5.79652,735.6667,1,1.6
3,113,3.747311,715.2308,1,1.6
3,114,2.815935,821.0909,1,1.6
5,1,7.059209,560.4706,2,2.6
5,2,6.594087,544,2,2.6
5,3,5.722775,628.8,2,2.6
5,4,7.4556,578.625,2,2.6
5,5,9.629999,582.375,2,2.6
5,6,8.818568,540.3529,2,2.6
5,7,8.621451,570.4706,2,2.6
5,8,10.12505,571.125,2,2.6
5,9,10.61813,642,2,2.6
5,10,9.160736,619.4667,2,2.6
5,11,8.166379,615.7333,2,2.6
5,12,6.973364,623.2,2,2.6
5,13,6.226774,636.1333,2,2.6
5,14,6.148243,619.3333,2,2.6
5,15,6.036553,573.6471,2,2.6
5,16,6.510929,586.375,2,2.6
5,17,9.127061,587.25,2,2.6
5,18,9.657799,614.375,2,2.6
5,19,10.20215,554.5882,2,2.6
5,20,12.64283,595.3333,2,2.6
5,21,11.00891,611.5,2,2.6
5,22,10.03706,580,2,2.6
5,23,9.450102,616,2,2.6
5,24,8.887149,599,2,2.6
5,25,8.194341,705.6923,2,2.6
5,26,7.391044,666,2,2.6
5,27,11.63992,655.4286,2,2.6
5,28,11.08754,607.125,2,2.6
5,29,9.368933,585.2941,2,2.6
5,30,10.30366,572.125,2,2.6
5,31,13.02458,596.625,2,2.6
5,32,11.66561,586.25,2,2.6
5,33,9.689642,629.4667,2,2.6
5,34,9.316042,584.375,2,2.6
5,35,9.493057,612.5333,2,2.6
5,36,8.622495,589.875,2,2.6
5,37,11.01731,609.8667,2,2.6
5,38,10.55001,654,2,2.6
5,39,8.509143,645.2857,2,2.6
5,40,6.975498,630.4,2,2.6
5,41,7.277103,705.2308,2,2.6
5,42,9.711683,642.4,2,2.6
5,43,9.550524,655.2857,2,2.6
5,44,11.95139,631.8667,2,2.6
5,45,11.94914,639.8667,2,2.6
5,46,13.91295,549.6471,2,2.6
5,47,14.11832,581.375,2,2.6
5,48,12.52003,575.8824,2,2.6
5,49,10.5309,592.25,2,2.6
5,50,9.160695,566.375,2,2.6
5,51,10.9312,595,2,2.6
5,52,10.07984,637.2,2,2.6
5,53,8.703524,618.2667,2,2.6
5,54,7.54969,657.5714,2,2.6
5,55,6.663132,620.6667,2,2.6
5,56,6.54074,611.3333,2,2.6
