"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
1,1,0,0,0,0,3,0,0,-1,0,3
1,2,0,0,0,1,3,NA,NA,NA,NA,NA
1,3,-1,0,0,0,3,0,0,0,0,3
1,4,0,0,0,1,3,NA,NA,NA,NA,NA
1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,1,-1,-1,0,3,NA,NA,NA,NA,NA
4,1,0,0,0,0,1,-1,0,0,0,2
4,2,0,0,0,0,1,0,0,0,0,3
4,3,-1,-1,NA,0,1,0,0,0,0,2
4,4,0,0,1,0,1,0,0,0,0,2
4,5,NA,NA,NA,NA,NA,0,0,0,NA,3
4,6,0,0,0,2,0,0,0,0,NA,3
4,7,1,-1,0,1,1,0,0,0,NA,3
5,1,0,NA,0,0,3,0,0,-1,0,3
5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,0,0,0,0,3,0,-1,0,0,3
5,4,0,0,1,0,2,0,0,-1,0,2
5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,6,0,0,0,1,2,0,0,0,1,1
5,7,-1,0,0,0,2,-1,0,0,0,2
6,1,-1,-1,0,4,1,0,1,0,4,3
6,2,NA,NA,NA,NA,NA,0,0,0,0,3
6,3,0,-1,-1,0,3,NA,NA,NA,NA,NA
7,1,-1,1,-1,0,1,0,0,-1,NA,2
7,2,1,0,1,0,3,0,0,0,3,2
7,3,0,0,0,0,3,0,0,0,2,2
7,4,0,0,0,0,3,-1,-1,-1,NA,2
7,5,0,0,0,0,2,0,0,0,0,3
7,6,0,0,-1,0,2,0,0,0,0,3
7,7,NA,NA,NA,NA,NA,0,0,0,0,2
8,1,-1,1,0,0,3,0,0,0,1,3
8,2,-1,0,-1,1,1,1,1,0,0,3
8,3,0,0,-1,0,2,0,-1,-1,0,3
8,4,-1,-1,0,0,2,0,-1,0,0,3
8,5,NA,NA,NA,NA,NA,0,1,0,0,3
8,6,-1,1,0,0,2,0,0,0,1,3
8,7,NA,NA,NA,NA,NA,0,0,0,0,3
10,1,0,0,0,1,3,0,NA,0,0,3
10,2,NA,NA,NA,NA,NA,0,0,0,2,3
10,3,0,0,0,0,3,0,0,0,0,3
10,4,0,0,-1,1,3,0,0,0,1,3
10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,0,0,0,4,3,1,0,0,3,2
10,7,NA,NA,NA,NA,NA,-1,0,0,4,1
12,1,-1,0,0,0,3,0,0,0,0,3
12,2,0,0,0,1,3,NA,NA,NA,NA,NA
12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,0,-1,0,2,2,1,0,0,0,3
12,5,1,-1,0,0,3,1,1,0,0,3
12,6,0,0,0,0,3,NA,NA,NA,NA,NA
13,1,-1,-1,0,0,3,0,0,0,0,3
13,2,0,0,-1,0,3,0,0,0,0,3
13,3,-1,-1,0,1,2,0,0,-1,1,3
13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,5,-1,-1,-1,1,3,0,-1,0,1,3
14,1,-1,0,1,1,1,0,0,NA,1,0
14,2,-1,0,1,2,1,0,0,NA,1,1
14,3,-1,0,-1,0,1,0,0,NA,1,1
14,4,0,0,0,1,2,0,0,NA,0,1
14,5,1,0,-1,1,2,NA,NA,NA,NA,NA
14,6,-1,1,0,2,2,0,-1,0,0,3
15,1,-1,-1,-1,1,3,0,0,0,0,3
15,2,0,0,-1,1,3,NA,NA,NA,NA,NA
15,3,0,0,0,0,3,-1,0,0,0,3
15,4,1,-1,-1,0,3,1,-1,-1,0,3
15,5,0,0,0,0,3,-1,-1,-1,0,3
15,6,0,0,0,0,3,0,-1,0,0,3
15,7,0,-1,-1,0,3,0,1,1,0,3
17,1,0,-1,0,1,2,0,1,1,1,2
17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,0,-1,-1,0,2,-1,-1,1,0,3
17,4,-1,1,0,0,3,-1,-1,-1,0,3
17,5,-1,1,-1,3,2,-1,0,0,4,0
17,6,-1,1,-1,2,3,0,1,-1,3,1
18,1,-1,0,0,0,3,0,0,0,0,3
18,2,NA,NA,NA,NA,NA,0,0,0,3,3
18,3,0,0,-1,0,3,0,0,-1,0,3
18,4,-1,1,0,0,3,0,0,0,0,3
