"Person","time","t1ambiv","pospexpress","posRel"
1,1,0.6,6,10
1,2,0.6,10,9
1,4,0.6,10,10
1,5,0.6,10,10
1,6,0.6,10,10
1,7,0.6,10,10
1,8,0.6,10,10
1,10,0.6,10,10
1,11,0.6,10,10
1,12,0.6,10,10
1,13,0.6,7,10
1,14,0.6,10,10
1,15,0.6,8,10
1,16,0.6,0,10
1,18,0.6,0,9
2,1,2,5,10
2,3,2,8,6.333333
2,4,2,9,10
2,5,2,7,10
2,6,2,0,10
2,7,2,8,10
2,11,2,0,10
2,13,2,2,10
2,15,2,5,10
2,16,2,2,10
2,17,2,5,9
2,18,2,4,10
2,19,2,0,10
2,21,2,6,1.333333
2,22,2,0,3.333333
3,1,0.4,10,10
3,2,0.4,10,10
3,3,0.4,10,8.333333
3,4,0.4,10,8
3,5,0.4,10,8
3,6,0.4,10,10
3,7,0.4,8,8.333333
3,8,0.4,7,8
3,9,0.4,6,6
3,10,0.4,4,8.666667
3,11,0.4,7,6.333333
3,12,0.4,10,9.333333
3,13,0.4,10,9
3,14,0.4,10,10
3,15,0.4,6,8.333333
3,16,0.4,7,5.333333
3,17,0.4,8,7.333333
3,18,0.4,4,8.666667
3,19,0.4,7,9.666667
3,20,0.4,5,10
5,1,0.8,8,9
5,2,0.8,9,9
5,3,0.8,8,8.666667
5,4,0.8,9,9.333333
5,5,0.8,9,9.333333
5,6,0.8,5,9
5,7,0.8,8,9.333333
5,8,0.8,6,9.333333
5,9,0.8,9,9.333333
5,10,0.8,8,9.666667
5,11,0.8,7,9.5
5,12,0.8,6,9.666667
5,13,0.8,7,8.333333
5,14,0.8,9,8.333333
5,15,0.8,8,9
5,16,0.8,8,8.333333
5,17,0.8,9,9.333333
5,18,0.8,7,8.333333
5,19,0.8,9,8.666667
5,20,0.8,8,9.5
8,6,0.4,7,10
8,10,0.4,5,5
8,13,0.4,2,9
8,17,0.4,4,9
10,1,0.2,6,8
10,2,0.2,5,9
10,3,0.2,8,10
10,4,0.2,5,9
10,5,0.2,6,9
10,6,0.2,6,9
10,7,0.2,4,9.666667
10,8,0.2,6,10
10,9,0.2,5,10
10,10,0.2,5,10
10,11,0.2,6,10
10,12,0.2,6,10
10,14,0.2,5,10
10,15,0.2,6,10
10,16,0.2,6,10
10,18,0.2,7,10
11,1,0,0,9.666667
11,2,0,0,10
11,3,0,8,9.333333
11,4,0,7,10
11,5,0,0,10
11,6,0,9,10
11,7,0,0,9
11,8,0,0,9.333333
11,9,0,6,10
11,10,0,6,10
11,11,0,9,10
11,12,0,7,10
11,13,0,7,10
11,14,0,9,10
11,15,0,9,10
11,16,0,10,10
11,17,0,2,10
11,18,0,0,10
11,19,0,10,10
11,20,0,10,10
12,1,1,6,9.333333
12,2,1,9,9.333333
12,3,1,6,6.666667
12,4,1,3,7
12,5,1,3,8
12,6,1,6,7.333333
12,7,1,6,7.666667
13,1,0.2,8,10
13,2,0.2,0,10
13,3,0.2,6,10
13,4,0.2,10,9.666667
13,5,0.2,4,9.666667
13,6,0.2,0,9
13,7,0.2,2,10
13,8,0.2,10,10
13,9,0.2,0,7.666667
13,10,0.2,10,10
13,11,0.2,0,9.333333
13,12,0.2,7,10
13,13,0.2,8,10
13,14,0.2,6,10
13,15,0.2,8,6.666667
13,16,0.2,9,10
13,17,0.2,10,9.333333
13,18,0.2,6,9.333333
13,19,0.2,8,10
13,20,0.2,10,10
14,1,0.2,6,5
14,2,0.2,6,8.333333
14,3,0.2,1,5.666667
14,4,0.2,2,6
14,5,0.2,4,6.333333
14,6,0.2,8,7
14,7,0.2,6,8.666667
14,8,0.2,8,8.666667
14,10,0.2,5,8
14,13,0.2,8,9
14,14,0.2,8,8.666667
14,15,0.2,7,8.666667
14,18,0.2,0,5.666667
14,21,0.2,1,6.666667
14,22,0.2,9,8.666667
16,1,0.4,0,10
16,2,0.4,9,10
16,3,0.4,6,8.333333
16,5,0.4,2,8
16,6,0.4,3,8.666667
16,7,0.4,4,8.666667
16,9,0.4,6,10
16,10,0.4,9,10
16,11,0.4,6,10
16,12,0.4,8,10
16,18,0.4,5,10
17,1,0,10,10
17,2,0,10,10
17,3,0,10,10
17,4,0,10,9.333333
17,5,0,10,9.333333
17,6,0,10,9.333333
17,7,0,0,9.333333
17,8,0,0,9.333333
17,9,0,10,10
17,10,0,0,10
17,11,0,10,10
17,12,0,9,10
17,13,0,10,10
17,14,0,9,10
17,15,0,10,10
17,16,0,10,10
17,17,0,0,9
17,18,0,0,10
17,19,0,7,10
17,20,0,10,9.333333
18,1,1.8,4,8.333333
18,2,1.8,4,9.333333
18,3,1.8,0,8
18,4,1.8,4,8.333333
18,5,1.8,0,6.333333
18,6,1.8,2,7.333333
18,7,1.8,0,7.666667
18,8,1.8,4,8.333333
18,9,1.8,0,7
18,12,1.8,0,9
18,13,1.8,2,6
18,14,1.8,3,5.333333
18,15,1.8,3,5.333333
18,16,1.8,4,7.666667
18,18,1.8,5,6.666667
18,19,1.8,0,7
18,20,1.8,0,8.666667
21,1,0.8,10,10
21,2,0.8,7,10
21,3,0.8,0,9
21,4,0.8,4,8.666667
21,5,0.8,6,8
21,6,0.8,7,8
21,7,0.8,5,9.666667
21,8,0.8,7,9.5
21,10,0.8,4,7
21,11,0.8,8,9.333333
21,12,0.8,7,8.666667
21,13,0.8,7,8
21,14,0.8,9,9
21,16,0.8,8,9
21,18,0.8,8,9
21,19,0.8,0,7.333333
21,20,0.8,6,6.666667
21,21,0.8,7,8.5
22,1,0.6,8,8.333333
22,3,0.6,4,7.666667
22,4,0.6,5,9
22,5,0.6,3,8.666667
22,8,0.6,5,6.666667
22,10,0.6,10,10
22,13,0.6,7,10
22,14,0.6,10,10
22,17,0.6,0,10
22,19,0.6,6,10
22,21,0.6,6,10
22,22,0.6,6,10
