"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
1,1,1,1,0,0,3,5,7
1,1,2,1,0,1,3,7,8
1,1,3,1,-1,0,3,5,3
1,1,4,1,0,1,3,5,6
1,1,5,1,NA,NA,NA,NA,NA
1,1,6,1,-1,0,3,5,5
1,501,1,0,-1,0,3,7,5
1,501,2,0,NA,NA,NA,NA,NA
1,501,3,0,0,0,3,5,10
1,501,4,0,NA,NA,NA,NA,NA
1,501,5,0,NA,NA,NA,NA,NA
1,501,6,0,NA,NA,NA,NA,NA
4,4,1,1,0,0,1,5,4
4,4,2,1,0,0,1,3,5
4,4,3,1,NA,0,1,5,5
4,4,4,1,1,0,1,3,3
4,4,5,1,NA,NA,NA,NA,NA
4,4,6,1,0,2,0,2,3
4,4,7,1,0,1,1,8,4
4,504,1,0,-1,0,2,0,0
4,504,2,0,0,0,3,0,5
4,504,3,0,0,0,2,5,5
4,504,4,0,0,0,2,0,3
4,504,5,0,0,NA,3,0,0
4,504,6,0,0,NA,3,5,7
4,504,7,0,0,NA,3,4,4
5,5,1,1,NA,0,3,7,7
5,5,2,1,NA,NA,NA,NA,NA
5,5,3,1,0,0,3,7,7
5,5,4,1,1,0,2,6,5
5,5,5,1,NA,NA,NA,NA,NA
5,5,6,1,0,1,2,6,6
5,5,7,1,-1,0,2,5,4
5,505,1,0,-1,0,3,5,7
5,505,2,0,NA,NA,NA,NA,NA
5,505,3,0,-1,0,3,7,8
5,505,4,0,-1,0,2,5,7
5,505,5,0,NA,NA,NA,NA,NA
5,505,6,0,0,1,1,6,7
5,505,7,0,-1,0,2,5,5
6,6,1,1,-2,4,1,2,8
6,6,2,1,NA,NA,NA,NA,NA
6,6,3,1,-2,0,3,4,10
6,506,1,0,1,4,3,5,4
6,506,2,0,0,0,3,6,8
6,506,3,0,NA,NA,NA,NA,NA
7,7,1,1,-1,0,1,10,10
7,7,2,1,2,0,3,8,7
7,7,3,1,0,0,3,0,10
7,7,4,1,0,0,3,0,4
7,7,5,1,0,0,2,0,7
7,7,6,1,-1,0,2,0,4
7,7,7,1,NA,NA,NA,NA,NA
7,507,1,0,-1,NA,2,7,9
7,507,2,0,0,3,2,4,7
7,507,3,0,0,2,2,5,3
7,507,4,0,-3,NA,2,5,7
7,507,5,0,0,0,3,0,5
7,507,6,0,0,0,3,7,7
7,507,7,0,0,0,2,0,4
8,8,1,1,0,0,3,8,8
8,8,2,1,-2,1,1,9,4
8,8,3,1,-1,0,2,9,10
8,8,4,1,-2,0,2,8,7
8,8,5,1,NA,NA,NA,NA,NA
8,8,6,1,0,0,2,6,2
8,8,7,1,NA,NA,NA,NA,NA
8,508,1,0,0,1,3,6,10
8,508,2,0,2,0,3,10,7
8,508,3,0,-2,0,3,0,9
8,508,4,0,-1,0,3,8,8
8,508,5,0,1,0,3,5,7
8,508,6,0,0,1,3,7,6
8,508,7,0,0,0,3,5,3
10,10,1,1,0,1,3,5,8
10,10,2,1,NA,NA,NA,NA,NA
10,10,3,1,0,0,3,3,5
10,10,4,1,-1,1,3,2,6
10,10,5,1,NA,NA,NA,NA,NA
10,10,6,1,0,4,3,9,4
10,10,7,1,NA,NA,NA,NA,NA
10,510,1,0,NA,0,3,5,5
10,510,2,0,0,2,3,6,6
10,510,3,0,0,0,3,5,6
10,510,4,0,0,1,3,5,5
10,510,5,0,NA,NA,NA,NA,NA
10,510,6,0,1,3,2,5,5
10,510,7,0,-1,4,1,5,5
12,12,1,1,-1,0,3,5,8
12,12,2,1,0,1,3,3,9
12,12,3,1,NA,NA,NA,NA,NA
12,12,4,1,-1,2,2,5,3
12,12,5,1,0,0,3,1,6
12,12,6,1,0,0,3,3,9
12,512,1,0,0,0,3,9,6
12,512,2,0,NA,NA,NA,NA,NA
12,512,3,0,NA,NA,NA,NA,NA
12,512,4,0,1,0,3,5,6
12,512,5,0,2,0,3,4,6
12,512,6,0,NA,NA,NA,NA,NA
13,13,1,1,-2,0,3,0,7
13,13,2,1,-1,0,3,0,5
13,13,3,1,-2,1,2,6,3
13,13,4,1,NA,NA,NA,NA,NA
13,13,5,1,-3,1,3,3,5
13,513,1,0,0,0,3,0,5
13,513,2,0,0,0,3,5,5
13,513,3,0,-1,1,3,0,4
13,513,4,0,NA,NA,NA,NA,NA
13,513,5,0,-1,1,3,0,5
14,14,1,1,0,1,1,8,6
14,14,2,1,0,2,1,8,NA
14,14,3,1,-2,0,1,5,4
14,14,4,1,0,1,2,8,9
14,14,5,1,0,1,2,9,8
14,14,6,1,0,2,2,3,8
14,514,1,0,NA,1,0,2,6
14,514,2,0,NA,1,1,7,5
14,514,3,0,NA,1,1,8,5
14,514,4,0,NA,0,1,4,7
14,514,5,0,NA,NA,NA,NA,NA
14,514,6,0,-1,0,3,1,7
15,15,1,1,-3,1,3,0,10
15,15,2,1,-1,1,3,0,10
15,15,3,1,0,0,3,3,0
15,15,4,1,-1,0,3,0,0
15,15,5,1,0,0,3,5,0
15,15,6,1,0,0,3,0,5
15,15,7,1,-2,0,3,0,0
15,515,1,0,0,0,3,0,10
15,515,2,0,NA,NA,NA,NA,NA
15,515,3,0,-1,0,3,0,10
15,515,4,0,-1,0,3,0,0
15,515,5,0,-3,0,3,0,5
15,515,6,0,-1,0,3,0,7
15,515,7,0,2,0,3,0,6
17,17,1,1,-1,1,2,0,9
17,17,2,1,NA,NA,NA,NA,NA
17,17,3,1,-2,0,2,1,7
17,17,4,1,0,0,3,0,8
17,17,5,1,-1,3,2,0,1
17,17,6,1,-1,2,3,7,7
17,517,1,0,2,1,2,5,9
17,517,2,0,NA,NA,NA,NA,NA
17,517,3,0,-1,0,3,6,9
17,517,4,0,-3,0,3,10,8
17,517,5,0,-1,4,0,0,8
17,517,6,0,0,3,1,3,10
18,18,1,1,-1,0,3,8,8
18,18,2,1,NA,NA,NA,NA,NA
18,18,3,1,-1,0,3,3,5
18,18,4,1,0,0,3,6,7
18,18,5,1,NA,NA,NA,NA,NA
18,18,6,1,-1,0,2,7,7
18,18,7,1,0,0,3,7,8
18,518,1,0,0,0,3,3,7
18,518,2,0,0,3,3,5,9
18,518,3,0,-1,0,3,5,9
18,518,4,0,0,0,3,5,10
18,518,5,0,0,NA,NA,NA,NA
18,518,6,0,0,0,3,0,10
18,518,7,0,NA,NA,NA,NA,NA
19,19,1,1,-1,0,1,3,9
19,19,2,1,0,0,1,9,9
19,19,3,1,NA,NA,NA,NA,NA
19,19,4,1,0,0,1,8,7
19,519,1,0,0,0,1,0,6
19,519,2,0,-2,0,1,0,7
19,519,3,0,0,0,1,0,0
19,519,4,0,NA,NA,NA,NA,NA
21,21,1,1,0,0,3,1,3
21,21,2,1,0,0,3,0,7
21,21,3,1,NA,NA,NA,NA,NA
21,21,4,1,0,0,3,5,5
21,21,5,1,0,0,3,5,5
21,21,6,1,-2,0,3,0,0
21,521,1,0,0,0,3,2,8
21,521,2,0,0,0,3,1,7
21,521,3,0,-1,0,3,4,4
21,521,4,0,0,0,3,6,4
21,521,5,0,0,0,3,4,4
21,521,6,0,NA,0,3,0,0
23,23,1,1,0,0,3,2,1
23,23,2,1,NA,NA,NA,NA,NA
23,23,3,1,0,1,3,2,5
23,23,4,1,-1,1,3,2,3
23,23,5,1,-2,1,3,4,2
23,23,6,1,NA,NA,NA,NA,NA
23,23,7,1,-3,2,3,2,0
23,523,1,0,0,0,3,0,0
23,523,2,0,NA,NA,NA,NA,NA
23,523,3,0,0,0,3,0,8
23,523,4,0,0,1,3,2,8
23,523,5,0,0,4,0,0,10
23,523,6,0,NA,NA,NA,NA,NA
23,523,7,0,-2,0,3,0,0
24,24,1,1,0,4,3,0,6
24,24,2,1,-2,0,3,3,7
24,24,3,1,2,0,3,2,8
24,24,4,1,0,2,3,5,2
24,24,5,1,-1,1,3,4,2
24,24,6,1,1,0,3,2,4
24,24,7,1,NA,NA,NA,NA,NA
24,524,1,0,-1,0,0,10,7
24,524,2,0,NA,NA,NA,NA,NA
24,524,3,0,1,0,1,10,9
24,524,4,0,0,2,2,9,0
24,524,5,0,0,1,2,10,8
24,524,6,0,0,3,3,10,10
24,524,7,0,2,1,3,10,10
25,25,1,1,1,0,3,0,9
25,25,2,1,-1,0,3,0,0
25,25,3,1,0,1,0,5,5
25,25,4,1,-1,0,3,0,0
25,25,5,1,0,0,3,0,0
25,25,6,1,0,0,3,0,0
25,25,7,1,0,0,3,0,0
25,525,1,0,0,3,3,5,5
25,525,2,0,-2,1,3,0,8
25,525,3,0,0,0,3,7,7
25,525,4,0,NA,NA,NA,NA,NA
25,525,5,0,1,0,3,2,7
25,525,6,0,1,0,3,0,6
25,525,7,0,-1,0,3,1,4
26,26,1,1,-2,4,3,9,8
26,26,2,1,NA,NA,NA,NA,NA
26,26,3,1,NA,0,3,8,6
26,26,4,1,NA,0,2,9,8
26,26,5,1,NA,NA,NA,NA,NA
26,26,6,1,2,0,2,0,6
26,526,1,0,-1,0,3,3,9
26,526,2,0,0,0,2,3,8
26,526,3,0,-2,1,3,2,7
26,526,4,0,NA,NA,NA,NA,NA
26,526,5,0,NA,NA,NA,NA,NA
26,526,6,0,-1,0,3,2,7
28,28,1,1,-1,1,3,4,6
28,28,2,1,1,0,3,4,6
28,28,3,1,0,2,2,3,7
28,28,4,1,1,0,3,4,8
28,28,5,1,NA,NA,NA,NA,NA
28,28,6,1,-2,0,3,2,10
28,28,7,1,0,1,3,4,7
28,528,1,0,-1,1,3,1,8
28,528,2,0,0,0,3,2,8
28,528,3,0,-1,2,2,6,7
28,528,4,0,1,0,3,3,9
28,528,5,0,NA,NA,NA,NA,NA
28,528,6,0,0,0,3,2,9
28,528,7,0,0,1,3,3,7
30,30,1,1,-2,0,1,6,4
30,30,2,1,0,0,2,2,3
30,30,3,1,-2,NA,1,1,1
30,30,4,1,NA,NA,NA,NA,NA
30,30,5,1,-2,0,2,2,3
30,30,6,1,-2,0,2,6,8
30,530,1,0,0,0,2,2,9
30,530,2,0,0,0,2,5,0
30,530,3,0,1,0,3,8,8
30,530,4,0,-1,0,2,5,8
30,530,5,0,NA,NA,NA,NA,NA
30,530,6,0,-1,3,2,2,7
32,32,1,1,-1,3,0,0,2
32,32,2,1,0,1,1,6,2
