"dyad","Person","sexm","conflict","relstressA","esteem","p_conflict","p_relstressA","p_esteem"
1,1,"women",1.6,0,4.5,1.8,0.8,5
2,2,"women",3.8,0.4,3,1.4,1,4
3,3,"women",1.6,0,4,1.4,0.2,5
4,4,"women",2.2,0,4.5,0.6,0,4
5,5,"women",2.6,0.5,3.5,1.6,0.2,4
6,6,"women",3.6,2.2,3.5,4.4,0.8,5
7,7,"women",2,0.3,2.5,1.2,0.5,4
8,8,"women",1.6,0.7,2.5,3,0.8,2.5
9,9,"women",3.4,NA,NA,1.4,0.1,5
10,10,"women",2.6,0.1,2.5,1.4,0.9,5
11,11,"women",0.8,0.9,5,3.2,1.4,4
12,12,"women",2.2,0.2,2.5,0.6,0.3,5
13,13,"women",1.2,0.2,4.5,3.8,1.4,5
14,14,"women",1.6,0,4.5,0.8,0.1,4.5
15,15,"women",2.6,1.1,3.5,1.8,0.5,3
16,16,"women",2,0.1,3,0.6,0,5
17,17,"women",1.6,0,3.5,1.4,0.4,NA
18,18,"women",2.8,0.8,5,2.6,1.333333,2
19,19,"women",2.2,0,4,2.4,0.7,3.5
20,20,"women",2.4,NA,NA,2.4,0,5
21,21,"women",2.4,0.7777778,4,4.2,1.7,3
22,22,"women",1.4,0.3,3,1.4,0.8,4
23,23,"women",1.4,0.1,4.5,2.2,1.2,4
24,24,"women",4.4,2.1,3,2.6,1.6,4
25,25,"women",4.2,2,2.5,2.2,0.6,3
26,26,"women",0.4,0.1,2.5,0.4,0,4
27,27,"women",1.4,0.7,5,2.6,1.3,4
28,28,"women",2.6,0.6666667,4,1.4,0,5
29,29,"women",0.8,0,5,2.6,0.7,3
31,31,"women",0.6,0,4.5,3.6,1.2,3.5
32,32,"women",2.4,0.2222222,4,2.2,0.8,4.5
33,33,"women",0.2,0,2.5,1.8,0.2,5
34,34,"women",3.8,1.4,3,1.4,0.2,3
35,35,"women",2.4,0.8888889,4,2.2,0.8,5
36,36,"women",2.2,0.8,4,2.4,0.9,3.5
37,37,"women",2,0.6,4,2.4,1.1,4
39,39,"women",1,0.7,3.5,0.6,0,4.5
40,40,"women",1.6,0.4,3.5,2.6,0.7,4
41,41,"women",3.6,1.8,4,1.4,0.2,5
42,42,"women",1.4,0,3,2.6,1.555556,3.5
43,43,"women",3.8,0.4,2.5,3.4,2.166667,3
44,44,"women",1.6,0.1,3.5,1.8,1.2,3.5
45,45,"women",3,0.5,1.5,4,2.2,3
46,46,"women",1.6,0.4,1.5,0.8,0.5,5
47,47,"women",1,0.3,3,0.2,0,5
49,49,"women",3,1.2,2.5,1.2,0.4,4
50,50,"women",2.2,0.2,4.5,1,0.2,3
51,51,"women",2.4,NA,4,1.4,0,2
53,53,"women",1.8,0.3,2.5,1,0,4.5
55,55,"women",1.8,0.9,3,3.4,1.4,4
56,56,"women",1.2,0.4,3.5,1.8,0.4,4.5
57,57,"women",1,0.4,5,1.4,0,4.5
58,58,"women",2.6,0.5,3,1.2,0.4,3
60,60,"women",3.8,0.1,3,0.8,0,4
63,63,"women",2.4,0.2,4.5,2.4,1.3,3.5
64,64,"women",1,0.3,3.5,1.6,0.5,4
65,65,"women",2.4,0.7,3,0.8,0.3,4
66,66,"women",3.4,0.9,2.5,3,0.4,3.5
67,67,"women",0.8,0.2,4,1,0.3,5
68,68,"women",1.2,0,3.5,1.4,0,5
69,69,"women",2.8,0.3,3,2,0.4,4.5
70,70,"women",0.6,0,3.5,1.4,0.6,3.5
72,72,"women",2,0,5,2.6,1.2,3.5
73,73,"women",3.2,0.7,5,2.2,0.8,4.5
74,74,"women",2.8,NA,NA,1.2,0.4,5
75,75,"women",1,0.3,5,3,0,2.5
76,76,"women",4.5,0.8,2.5,1.6,0.3,2.5
77,77,"women",2.4,2.1,3.5,1.6,0.2,1.5
78,78,"women",2.4,0.6,4,3.2,1.5,3.5
79,79,"women",1,0.4,3,5.8,2.6,4
80,80,"women",0.4,0.3,4.5,1,0.4,5
81,81,"women",2,0.1,3,1,0.7,5
82,82,"women",NA,1.2,2.5,2.6,NA,3.5
83,83,"women",4.2,0.9,3,1.6,0.2,4.5
84,84,"women",2.2,0.875,3,1.4,0.2,4
85,85,"women",0.8,0.1,4,2,0.9,2.5
86,86,"women",1.4,1.1,3.5,1.4,0.2,4
87,87,"women",2,0.3,3,3,1,3.5
88,88,"women",1.6,0.4,3.5,1,0.3,3
89,89,"women",2.8,0.8888889,2,2.6,0.1,3.5
90,90,"women",2.2,0.9,4.5,1.6,0.1,4
91,91,"women",3.2,0.7,3,2.4,0.7,1
92,92,"women",2.2,0.9,4,1.6,0.2,5
94,94,"women",2.2,0.4,5,1.6,0.3333333,3
96,96,"women",2,0.1,2.5,0,0,4
97,97,"women",2.8,1.1,4,1.4,0,4
98,98,"women",2,0.3,4,5,NA,2.5
99,99,"women",2.4,1,3,3.4,0.8,2.5
100,100,"women",1.4,0.1,4.5,0.8,0.2,4.5
101,101,"women",1.8,0,4,1.2,0.1,5
102,102,"women",3.4,1.3,4,1.6,0,5
103,103,"women",4.4,0.5,2.5,2.6,0,5
104,104,"women",NA,0,3.5,2,0.1,4.5
