DYAD,PERSON,SAMPLE,MARRIAGE,DAY,EATAMNTD,EXAMNTD,EATHLTHD,EATALONE,EATPARTN,EATOTHER,INFL,ACT,PDONE,ARGUE,CLOSE,PPOS,PNEG,OPOS,ONEG,ACTION,ENLISTP,SUP,COMCOPE,REAP,EMPATH,AVOID,PROTECT,sexf
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,3,9,1,5,5,7,2,5,2,7,8,7,3,1
1,1,1,0,2,0,0,0,1,1,1,0,1,0,1,3,8,1,7,6,7,5,7,5,8,8,6,6,1
1,1,1,0,3,-1,0,0,0,0,1,0,1,0,0,3,5,2,3,9,5,8,5,5,3,8,4,4,1
1,1,1,0,4,0,0,0,0,0,1,0,1,0,1,3,3,3,3,3,6,1,5,1,6,6,5,1,1
1,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,1,0,6,1,-1,-1,1,1,1,0,0,0,0,3,3,1,5,1,2,2,5,1,5,6,5,5,1
1,501,1,0,1,0,0,-1,0,1,0,0,0,0,0,3,5,1,7,2,1,0,7,0,5,5,4,7,0
1,501,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,0
1,501,1,0,3,0,0,0,1,0,0,0,0,0,0,3,4,0,3,10,9,0,5,0,10,5,8,3,0
1,501,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,0
1,501,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,0
1,501,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,0
4,4,1,0,1,0,0,0,0,1,0,0,1,0,0,1,5,1,0,3,5,0,5,1,4,2,4,1,1
4,4,1,0,2,0,0,0,1,1,0,0,1,0,0,1,3,1,3,1,4,0,3,0,5,6,7,8,1
4,4,1,0,3,-1,-1,,,,,0,0,1,0,1,4,0,0,0,0,0,5,5,5,5,5,3,1
4,4,1,0,4,0,0,1,1,1,0,0,1,0,0,1,6,0,0,1,5,0,3,0,3,0,0,0,1
4,4,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,1
4,4,1,0,6,0,0,0,1,1,0,0,1,0,2,0,1,6,2,0,3,3,2,3,3,1,2,2,1
4,4,1,0,7,1,-1,0,0,1,0,0,0,0,1,1,3,2,0,0,0,0,8,5,4,1,3,3,1
4,504,1,0,1,-1,0,0,1,0,0,0,1,0,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0
4,504,1,0,2,0,0,0,1,0,0,0,1,0,0,3,7,0,3,0,5,5,0,5,5,8,0,5,0
4,504,1,0,3,0,0,0,1,1,0,0,,0,0,2,5,1,0,0,5,0,5,7,5,8,5,,0
4,504,1,0,4,0,0,0,1,0,0,0,,0,0,2,7,1,0,0,0,0,0,3,3,7,0,8,0
4,504,1,0,5,0,0,0,1,0,0,0,,0,,3,6,2,0,0,0,0,0,0,0,0,0,0,0
4,504,1,0,6,0,0,0,1,0,0,0,,0,,3,5,0,5,0,5,5,5,5,7,7,3,6,0
