"Person","sexf","conflict","stress","relstressA","genstressA"
1,"Female",1.6,"Medium",0,0.625
2,"Female",3.8,"Medium",0.4,0.875
3,"Female",1.6,"High",0,0.875
5,"Female",2.6,"Medium",0.5,0.625
10,"Female",2.6,"Medium",0.1,0.375
11,"Female",0.8,"High",0.9,1.25
12,"Female",2.2,"Medium",0.2,0.75
14,"Female",1.6,"High",0,1.25
16,"Female",2,"Low",0.1,1
17,"Female",1.6,"Medium",0,0.5
18,"Female",2.8,"Medium",0.8,1
19,"Female",2.2,"Medium",0,0.875
21,"Female",2.4,"Medium",0.7777778,0.75
22,"Female",1.4,"Medium",0.3,0.375
23,"Female",1.4,"High",0.1,0.75
24,"Female",4.4,"Medium",2.1,0.875
29,"Female",0.8,"Medium",0,0.5
31,"Female",0.6,"Medium",0,1
32,"Female",2.4,"Medium",0.2222222,0.375
33,"Female",0.2,"Medium",0,0.125
34,"Female",3.8,"High",1.4,2.125
35,"Female",2.4,"Medium",0.8888889,2.25
39,"Female",1,"High",0.7,1
40,"Female",1.6,"Medium",0.4,0.625
42,"Female",1.4,"Low",0,0.25
44,"Female",1.6,"Medium",0.1,0.5
45,"Female",3,"High",0.5,0.75
46,"Female",1.6,"High",0.4,1.125
47,"Female",1,"Medium",0.3,1.5
53,"Female",1.8,"High",0.3,0.375
55,"Female",1.8,"Medium",0.9,1.5
56,"Female",1.2,"Medium",0.4,0.7142857
57,"Female",1,"Medium",0.4,0.625
58,"Female",2.6,"High",0.5,1.5
60,"Female",3.8,"High",0.1,0.25
63,"Female",2.4,"Low",0.2,0.2857143
64,"Female",1,"Medium",0.3,0.5
65,"Female",2.4,"High",0.7,1.125
67,"Female",0.8,"Medium",0.2,1.875
68,"Female",1.2,"High",0,0.25
69,"Female",2.8,"High",0.3,0.875
70,"Female",0.6,"Medium",0,0.5
75,"Female",1,"Medium",0.3,0.375
76,"Female",4.5,"High",0.8,0.75
77,"Female",2.4,"High",2.1,0.375
78,"Female",2.4,"High",0.6,1.375
79,"Female",1,"High",0.4,1.375
80,"Female",0.4,"Medium",0.3,0.75
81,"Female",2,"Medium",0.1,0.875
84,"Female",2.2,"High",0.875,1.75
86,"Female",1.4,"Medium",1.1,0.875
87,"Female",2,"Medium",0.3,0.75
89,"Female",2.8,"High",0.8888889,1.375
90,"Female",2.2,"Low",0.9,0.5
91,"Female",3.2,"High",0.7,1.375
96,"Female",2,"Medium",0.1,1.375
97,"Female",2.8,"High",1.1,0.25
98,"Female",2,"Medium",0.3,0.625
99,"Female",2.4,"High",1,1.125
100,"Female",1.4,"Low",0.1,0.625
101,"Female",1.8,"Low",0,0.375
103,"Female",4.4,"Medium",0.5,1.25
105,"Female",1.8,"Medium",0.4,0.5
108,"Female",2.2,"Medium",0.3,0.125
110,"Female",2.2,"High",0.1,0.625
501,"Male",1.8,"Medium",0.8,0
503,"Male",1.4,"Medium",0.2,0.5
505,"Male",1.6,"Medium",0.2,0.625
508,"Male",1.2,"Medium",0.5,1
510,"Male",3,"Medium",0.8,0.125
511,"Male",1.4,"High",0.1,0.75
512,"Male",1.4,"High",0.9,1.625
514,"Male",0.6,"High",0.3,0.375
516,"Male",3.8,"Medium",1.4,1.125
517,"Male",0.8,"Low",0.1,0.75
519,"Male",0.6,"Low",0,0.75
521,"Male",2.6,"Medium",1.333333,1
522,"Male",2.4,"Medium",0.7,1
523,"Male",2.4,"Medium",0,1.125
524,"Male",4.2,"High",1.7,1.125
529,"Male",2.2,"High",0.6,1.375
532,"Male",2.6,"Medium",1.3,0.5
533,"Male",1.4,"Low",0,0.125
534,"Male",2.6,"High",0.7,2.125
535,"Male",3.6,"High",1.2,0.875
539,"Male",2.2,"High",0.8,1.25
540,"Male",2.4,"Medium",0.9,1
542,"Male",0.6,"Medium",0,0.2857143
544,"Male",1.4,"Medium",0.2,0.5
545,"Male",2.6,"High",1.555556,1.875
546,"Male",3.4,"High",2.166667,2
547,"Male",1.8,"Medium",1.2,1.5
549,"Male",4,"High",2.2,2.125
551,"Male",0.2,"Low",0,0.5
553,"Male",1.2,"Medium",0.4,0.75
556,"Male",1.4,"Low",0,1
557,"Male",1,"Medium",0,0.5
560,"Male",1.8,"High",0.4,0.25
563,"Male",1.4,"High",0,0.875
564,"Male",1.2,"Medium",0.4,0.25
565,"Male",0.8,"Medium",0,0.5
566,"Male",2.4,"High",1.3,0.875
567,"Male",1.6,"Medium",0.5,2
568,"Male",0.8,"Medium",0.3,0.75
569,"Male",3,"High",0.4,0.5
575,"Male",1.4,"Medium",0.6,1.125
576,"Male",2.6,"High",1.2,1
578,"Male",1.2,"Medium",0.4,0.7142857
579,"Male",3,"Medium",0,0
580,"Male",1.6,"Medium",0.3,1
581,"Male",1.6,"High",0.2,0.875
582,"Male",3.2,"High",1.5,1.375
584,"Male",1,"Medium",0.4,1.125
587,"Male",1.6,"Medium",0.2,0.25
588,"Male",1.4,"Medium",0.2,1
589,"Male",2,"High",0.9,1.625
590,"Male",1.4,"Medium",0.2,0.4285714
591,"Male",3,"Medium",1,0.75
596,"Male",1.6,"Medium",0.1,0.75
597,"Male",2.4,"High",0.7,0.25
598,"Male",1.6,"Medium",0.2,0.25
599,"Male",1.6,"High",0.3333333,0.25
600,"Male",0,"Low",0,0.125
601,"Male",1.4,"Low",0,0.25
603,"Male",3.4,"Medium",0.8,1.375
605,"Male",1.2,"Medium",0.1,0
606,"Male",1.6,"Medium",0,0.25
608,"Male",2.6,"Low",0,0.125
610,"Male",2,"Medium",0.1,0.125
